name,meal_type,tags,ingredients,prep,Calories,Carbs (g),Protein (g),Fat (g)
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,369,9,7,33.89
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,446,14,29,30.44
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,239,21,26,5.67
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,364,30,14,20.89
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,412,22,29,23.11
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,356,10,21,25.78
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,205,28,8,6.78
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,384,21,30,20.0
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,160,14,15,4.89
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,342,17,11,25.56
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,396,37,21,18.22
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,336,5,9,31.11
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,235,14,9,15.89
Mixed Vegetable,['Dinner'],[],"['carrot', 'peas', 'beans']",Prepare mixed vegetable with basic ingredients.,239,10,4,20.33
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,406,5,26,31.33
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,313,22,30,11.67
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,332,15,5,28.0
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,115,17,24,1.0
Mixed Vegetable,['Dinner'],[],"['carrot', 'peas', 'beans']",Prepare mixed vegetable with basic ingredients.,172,22,21,1.0
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,353,23,29,16.11
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,441,8,7,42.33
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,207,25,20,3.0
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,247,36,11,6.56
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,244,13,26,9.78
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,341,27,25,14.78
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,200,8,29,5.78
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,336,9,8,29.78
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,359,9,5,33.67
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,138,40,28,1.0
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,363,25,26,17.67
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,334,24,21,17.11
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,430,18,11,34.89
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,292,32,10,13.78
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,252,26,25,5.33
Quinoa Bowl,['Lunch'],"['Vegan', 'GlutenFree']","['quinoa', 'veggies']",Prepare quinoa bowl with basic ingredients.,182,23,25,1.0
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,259,28,6,13.67
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,433,29,4,33.44
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,375,31,11,23.0
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,170,5,22,6.89
Mixed Vegetable,['Dinner'],[],"['carrot', 'peas', 'beans']",Prepare mixed vegetable with basic ingredients.,385,39,5,23.22
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,333,19,22,18.78
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,125,27,7,1.0
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,110,5,30,1.0
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,397,33,19,21.0
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,178,28,4,5.56
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,354,15,26,21.11
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,108,25,6,1.0
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,262,8,10,21.11
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,283,14,14,19.0
Boiled Eggs,['Breakfast'],"['Vegetarian', 'NonVeg', 'LowGI', 'GlutenFree']",['eggs'],Prepare boiled eggs with basic ingredients.,376,22,19,23.56
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,114,35,22,1.0
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,295,27,13,15.0
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,236,16,18,11.11
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,362,28,12,22.44
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,278,29,28,5.56
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,117,5,5,8.56
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,154,39,9,1.0
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,299,35,27,5.67
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,391,31,21,20.33
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,398,31,8,26.89
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,212,17,5,13.78
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,265,33,24,4.11
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,301,28,22,11.22
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,302,15,28,14.44
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,361,31,10,21.89
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,217,34,19,1.0
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,302,32,28,6.89
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,314,18,20,18.0
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,372,16,19,25.78
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,168,21,21,1.0
Nuts Mix,['Snack'],['LowGI'],"['almonds', 'cashews']",Prepare nuts mix with basic ingredients.,376,10,28,24.89
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,265,39,28,1.0
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,335,30,22,14.11
Quinoa Bowl,['Lunch'],"['Vegan', 'GlutenFree']","['quinoa', 'veggies']",Prepare quinoa bowl with basic ingredients.,332,29,27,12.0
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,372,7,8,34.67
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,319,32,21,11.89
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,342,23,24,17.11
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,440,7,16,38.67
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,300,30,30,6.67
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,134,19,15,1.0
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,245,8,9,19.67
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,365,38,5,21.44
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,229,33,23,1.0
Mixed Vegetable,['Dinner'],[],"['carrot', 'peas', 'beans']",Prepare mixed vegetable with basic ingredients.,193,39,27,1.0
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,363,13,10,30.11
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,440,38,21,22.67
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,276,28,18,10.22
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,323,34,12,15.44
Mixed Vegetable,['Dinner'],[],"['carrot', 'peas', 'beans']",Prepare mixed vegetable with basic ingredients.,360,21,14,24.44
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,419,40,30,15.44
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,103,24,16,1.0
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,228,24,12,9.33
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,390,24,20,23.78
Mixed Vegetable,['Dinner'],[],"['carrot', 'peas', 'beans']",Prepare mixed vegetable with basic ingredients.,110,29,17,1.0
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,237,8,20,13.89
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,277,21,29,8.56
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,254,39,9,6.89
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,390,24,13,26.89
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,418,13,18,32.67
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,379,8,9,34.56
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,288,5,10,25.33
Quinoa Bowl,['Lunch'],"['Vegan', 'GlutenFree']","['quinoa', 'veggies']",Prepare quinoa bowl with basic ingredients.,402,32,8,26.89
Mixed Vegetable,['Dinner'],[],"['carrot', 'peas', 'beans']",Prepare mixed vegetable with basic ingredients.,318,19,4,25.11
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,400,28,11,27.11
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,256,6,4,24.0
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,175,33,8,1.22
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,174,23,17,1.56
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,191,22,4,9.67
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,245,28,22,5.0
Quinoa Bowl,['Lunch'],"['Vegan', 'GlutenFree']","['quinoa', 'veggies']",Prepare quinoa bowl with basic ingredients.,104,6,24,1.0
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,438,6,8,42.44
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,188,13,8,11.56
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,142,37,10,1.0
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,254,31,28,2.0
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,352,23,17,21.33
Boiled Eggs,['Breakfast'],"['Vegetarian', 'NonVeg', 'LowGI', 'GlutenFree']",['eggs'],Prepare boiled eggs with basic ingredients.,250,9,11,18.89
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,391,39,8,22.56
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,443,36,17,25.67
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,421,15,4,38.33
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,224,31,4,9.33
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,324,36,8,16.44
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,226,26,28,1.11
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,345,21,20,20.11
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,425,37,8,27.22
Tofu Scramble,['Breakfast'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'spices']",Prepare tofu scramble with basic ingredients.,193,19,18,5.0
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,243,23,18,8.78
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,179,16,24,2.11
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,143,36,29,1.0
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,389,6,8,37.0
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,444,20,21,31.11
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,201,38,17,1.0
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,237,30,18,5.0
Boiled Eggs,['Breakfast'],"['Vegetarian', 'NonVeg', 'LowGI', 'GlutenFree']",['eggs'],Prepare boiled eggs with basic ingredients.,320,12,20,21.33
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,364,30,27,15.11
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,233,24,17,7.67
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,226,26,5,11.33
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,159,28,14,1.0
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,248,23,21,8.0
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,407,24,23,24.33
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,259,7,4,23.89
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,255,23,24,7.44
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,222,40,6,4.22
Mixed Vegetable,['Dinner'],[],"['carrot', 'peas', 'beans']",Prepare mixed vegetable with basic ingredients.,204,27,19,2.22
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,128,27,21,1.0
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,191,40,9,1.0
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,169,35,6,1.0
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,284,28,15,12.44
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,226,37,8,5.11
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,326,22,8,22.89
Beef Steak,['Dinner'],['NonVeg'],"['beef', 'seasoning']",Prepare beef steak with basic ingredients.,186,29,5,5.56
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,347,34,6,20.78
Chia Pudding,['Breakfast'],"['Vegan', 'Vegetarian', 'LowFat']","['chia', 'almond milk']",Prepare chia pudding with basic ingredients.,303,40,10,11.44
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,248,7,11,19.56
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,189,21,10,7.22
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,187,38,18,1.0
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,248,30,5,12.0
Protein Bar,['Snack'],[],"['protein', 'nuts']",Prepare protein bar with basic ingredients.,215,26,24,1.67
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,396,17,23,26.22
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,343,38,9,17.22
Carrot Sticks,['Snack'],['LowFat'],['carrots'],Prepare carrot sticks with basic ingredients.,374,16,24,23.78
Oatmeal,['Breakfast'],"['Vegan', 'LowFat']","['oats', 'water']",Prepare oatmeal with basic ingredients.,207,39,26,1.0
Quinoa Bowl,['Lunch'],"['Vegan', 'GlutenFree']","['quinoa', 'veggies']",Prepare quinoa bowl with basic ingredients.,130,5,19,3.78
Tofu Stir Fry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['tofu', 'veggies']",Prepare tofu stir fry with basic ingredients.,324,6,11,28.44
Yogurt Cup,['Snack'],"['Vegetarian', 'LowGI']",['yogurt'],Prepare yogurt cup with basic ingredients.,354,15,25,21.56
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,363,34,18,17.22
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,371,36,9,21.22
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,434,18,24,29.56
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,450,28,28,25.11
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,364,30,27,15.11
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,324,20,8,23.56
Quinoa Bowl,['Lunch'],"['Vegan', 'GlutenFree']","['quinoa', 'veggies']",Prepare quinoa bowl with basic ingredients.,393,26,16,25.0
Quinoa Bowl,['Lunch'],"['Vegan', 'GlutenFree']","['quinoa', 'veggies']",Prepare quinoa bowl with basic ingredients.,369,13,22,25.44
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,411,25,21,25.22
Chickpea Curry,['Dinner'],"['Vegan', 'LowGI', 'GlutenFree']","['chickpeas', 'onion', 'tomato']",Prepare chickpea curry with basic ingredients.,220,7,20,12.44
Boiled Eggs,['Breakfast'],"['Vegetarian', 'NonVeg', 'LowGI', 'GlutenFree']",['eggs'],Prepare boiled eggs with basic ingredients.,409,20,27,24.56
Turkey Wrap,['Lunch'],['NonVeg'],"['turkey', 'wrap', 'lettuce']",Prepare turkey wrap with basic ingredients.,382,17,8,31.33
Lamb Stir Fry,['Dinner'],['NonVeg'],"['lamb', 'peppers', 'spices']",Prepare lamb stir fry with basic ingredients.,182,5,17,10.44
Boiled Eggs,['Breakfast'],"['Vegetarian', 'NonVeg', 'LowGI', 'GlutenFree']",['eggs'],Prepare boiled eggs with basic ingredients.,177,17,28,1.0
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,235,35,12,5.22
Veg Sandwich,['Breakfast'],[],"['bread', 'lettuce', 'tomato']",Prepare veg sandwich with basic ingredients.,288,23,30,8.44
Fish Curry,['Dinner'],"['NonVeg', 'LowFat']","['fish', 'coconut milk', 'spices']",Prepare fish curry with basic ingredients.,380,14,25,24.89
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,261,38,7,9.0
Veggie Burrito,['Lunch'],"['Vegan', 'Vegetarian', 'NonVeg', 'LowGI', 'LowFat', 'GlutenFree']","['beans', 'rice', 'tortilla']",Prepare veggie burrito with basic ingredients.,247,36,6,8.78
Fruit Salad,['Snack'],['Vegetarian'],"['apple', 'banana', 'grapes']",Prepare fruit salad with basic ingredients.,311,16,6,24.78
Lentil Stew,['Lunch'],"['Vegetarian', 'LowGI']","['lentils', 'onion', 'tomato']",Prepare lentil stew with basic ingredients.,206,30,10,5.11
Smoothie,['Breakfast'],"['Vegan', 'LowFat']","['banana', 'berries', 'yogurt']",Prepare smoothie with basic ingredients.,130,7,17,3.78
Grilled Chicken,['Lunch'],['NonVeg'],"['chicken', 'spices']",Prepare grilled chicken with basic ingredients.,368,21,23,21.33
Paneer Tikka,['Lunch'],['Vegetarian'],"['paneer', 'yogurt', 'spices']",Prepare paneer tikka with basic ingredients.,438,11,20,34.89
